food_id,alias,source_url,data_status,notes
FC000001,"Rice, well-milled, boiled",https://i.fnri.dost.gov.ph/fct/library/report/2982,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000001,Kanin,https://i.fnri.dost.gov.ph/fct/library/report/2982,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000001,sinaing,https://i.fnri.dost.gov.ph/fct/library/report/2982,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000001,white rice,https://i.fnri.dost.gov.ph/fct/library/report/2982,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000001,"Bigas, maputi, sinaing",https://i.fnri.dost.gov.ph/fct/library/report/2982,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000002,"Rice, well-milled, fried",https://i.fnri.dost.gov.ph/fct/library/report/2983,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000002,Sinangag,https://i.fnri.dost.gov.ph/fct/library/report/2983,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000002,garlic rice,https://i.fnri.dost.gov.ph/fct/library/report/2983,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000002,"Bigas, maputi, sinangag",https://i.fnri.dost.gov.ph/fct/library/report/2983,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000003,"Rice, undermilled",https://i.fnri.dost.gov.ph/fct/library/report/2976,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000003,Brown rice,https://i.fnri.dost.gov.ph/fct/library/report/2976,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000003,pinawa,https://i.fnri.dost.gov.ph/fct/library/report/2976,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000004,"Rice, glutinous",https://i.fnri.dost.gov.ph/fct/library/report/2974,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000004,Malagkit,https://i.fnri.dost.gov.ph/fct/library/report/2974,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000004,"Rice, milled, glutinous",https://i.fnri.dost.gov.ph/fct/library/report/2974,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000004,"Bigas, malagkit",https://i.fnri.dost.gov.ph/fct/library/report/2974,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000005,"Corn on cob, yellow, boiled",https://i.fnri.dost.gov.ph/fct/library/report/2967,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000005,Nilagang mais,https://i.fnri.dost.gov.ph/fct/library/report/2967,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000005,"Mais sa busal, dilaw, nilaga",https://i.fnri.dost.gov.ph/fct/library/report/2967,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000006,"Bread, pan de sal",https://i.fnri.dost.gov.ph/fct/library/report/3004,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000006,Pandesal,https://i.fnri.dost.gov.ph/fct/library/report/3004,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000006,pan de sal,https://i.fnri.dost.gov.ph/fct/library/report/3004,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000007,"Bread, pan de monay",https://i.fnri.dost.gov.ph/fct/library/report/3003,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000007,Monay,https://i.fnri.dost.gov.ph/fct/library/report/3003,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000008,"Bread, sweet roll",https://i.fnri.dost.gov.ph/fct/library/report/3007,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000008,Ensaymada,https://i.fnri.dost.gov.ph/fct/library/report/3007,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000009,"Bread, pan de coco",https://i.fnri.dost.gov.ph/fct/library/report/3000,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000009,Pan de coco,https://i.fnri.dost.gov.ph/fct/library/report/3000,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000010,"Bread, white loaf",https://i.fnri.dost.gov.ph/fct/library/report/3010,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000010,Loaf bread,https://i.fnri.dost.gov.ph/fct/library/report/3010,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000010,tasty bread,https://i.fnri.dost.gov.ph/fct/library/report/3010,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000010,pan Amerikano,https://i.fnri.dost.gov.ph/fct/library/report/3010,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000010,"Bread, white, loaf",https://i.fnri.dost.gov.ph/fct/library/report/3010,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000010,American loaf,https://i.fnri.dost.gov.ph/fct/library/report/3010,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000011,"Bread, toasted",https://i.fnri.dost.gov.ph/fct/library/report/3009,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000011,Toast,https://i.fnri.dost.gov.ph/fct/library/report/3009,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000011,tinapay tostado,https://i.fnri.dost.gov.ph/fct/library/report/3009,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000011,"Tinapay, tostado",https://i.fnri.dost.gov.ph/fct/library/report/3009,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000012,"Bread, Spanish bread",https://i.fnri.dost.gov.ph/fct/library/report/2992,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000012,Spanish bread,https://i.fnri.dost.gov.ph/fct/library/report/2992,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000012,"Bread, w/ margarine & sugar filling",https://i.fnri.dost.gov.ph/fct/library/report/2992,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000013,"Cake, mamon",https://i.fnri.dost.gov.ph/fct/library/report/3022,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000013,Mamon,https://i.fnri.dost.gov.ph/fct/library/report/3022,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000014,"Rice noodles, cooked",https://i.fnri.dost.gov.ph/fct/library/report/3100,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000014,Bihon,https://i.fnri.dost.gov.ph/fct/library/report/3100,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000014,pancit bihon noodles,https://i.fnri.dost.gov.ph/fct/library/report/3100,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000014,"Noodles, rice, boiled",https://i.fnri.dost.gov.ph/fct/library/report/3100,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000014,"Bihon, nilaga",https://i.fnri.dost.gov.ph/fct/library/report/3100,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000015,"Egg noodles, cooked",https://i.fnri.dost.gov.ph/fct/library,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000015,Pancit canton noodles,https://i.fnri.dost.gov.ph/fct/library,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000015,canton,https://i.fnri.dost.gov.ph/fct/library,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000016,"Egg, chicken, whole, boiled",https://i.fnri.dost.gov.ph/fct/library/report/4216,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000016,Boiled egg,https://i.fnri.dost.gov.ph/fct/library/report/4216,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000016,nilagang itlog,https://i.fnri.dost.gov.ph/fct/library/report/4216,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000016,"Itlog, manok, buo, nilaga",https://i.fnri.dost.gov.ph/fct/library/report/4216,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000017,"Egg, chicken, whole",https://i.fnri.dost.gov.ph/fct/library/report/4215,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000017,Itlog,https://i.fnri.dost.gov.ph/fct/library/report/4215,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000017,whole egg,https://i.fnri.dost.gov.ph/fct/library/report/4215,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000017,"Itlog, manok, buo",https://i.fnri.dost.gov.ph/fct/library/report/4215,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000018,"Egg, duck, whole",https://i.fnri.dost.gov.ph/fct/library/report/4219,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000018,Itlog na pato,https://i.fnri.dost.gov.ph/fct/library/report/4219,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000018,"Itlog, pato, buo",https://i.fnri.dost.gov.ph/fct/library/report/4219,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000019,"Soybean cheese, hard curd",https://i.fnri.dost.gov.ph/fct/library/report/3274,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000019,Tokwa,https://i.fnri.dost.gov.ph/fct/library/report/3274,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000019,tofu,https://i.fnri.dost.gov.ph/fct/library/report/3274,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
FC000020,"Soybean cheese, soft curd",https://i.fnri.dost.gov.ph/fct/library/report/3273,SEARCH_ALIAS_REVIEWED,Search aid only; food identity and preparation must still match.
