food_id,name,alias_count,official_common_names,common_name_status,review_note
FC000001,"Rice, well-milled, boiled",6,"Bigas, maputi, sinaing",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000002,"Rice, well-milled, fried",5,"Bigas, maputi, sinangag",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000003,"Rice, undermilled",3,Brown rice/Pinawa,SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000004,"Rice, glutinous",5,"Bigas, malagkit",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000005,"Corn on cob, yellow, boiled",4,"Mais sa busal, dilaw, nilaga",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000006,"Bread, pan de sal",3,,NO_FNRI_COMMON_NAME_FOR_THIS_RECORD,Canonical search covered. No unsupported regional translation added.
FC000007,"Bread, pan de monay",2,,NO_FNRI_COMMON_NAME_FOR_THIS_RECORD,Canonical search covered. No unsupported regional translation added.
FC000008,"Bread, sweet roll",2,Ensaymada,SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000009,"Bread, pan de coco",2,,NO_FNRI_COMMON_NAME_FOR_THIS_RECORD,Canonical search covered. No unsupported regional translation added.
FC000010,"Bread, white loaf",6,American loaf/Pan Amerikano,SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000011,"Bread, toasted",4,"Toast/Tinapay, tostado",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000012,"Bread, Spanish bread",3,Spanish bread,SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000013,"Cake, mamon",2,,NO_FNRI_COMMON_NAME_FOR_THIS_RECORD,Canonical search covered. No unsupported regional translation added.
FC000014,"Rice noodles, cooked",5,"Bihon, nilaga",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000015,"Egg noodles, cooked",3,,NO_FNRI_COMMON_NAME_FOR_THIS_RECORD,Canonical search covered. No unsupported regional translation added.
FC000016,"Egg, chicken, whole, boiled",5,"Itlog, manok, buo, nilaga",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000017,"Egg, chicken, whole",4,"Itlog, manok, buo",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000018,"Egg, duck, whole",4,"Itlog, pato, buo",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000019,"Soybean cheese, hard curd",3,Tokwa,SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000020,"Soybean cheese, soft curd",3,Tofu,SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000021,"Mung bean seed, green, dried, boiled",8,"Munggo buto, berde, tuyo, nilaga",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000022,"Peanut, roasted",5,"Mani, walang balok, binusa",SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
FC000023,Pili nut,3,Pili bunga,SOURCE_COMMON_NAMES_AVAILABLE,Canonical search covered. No unsupported regional translation added.
