date,food_id,field,old_value,new_value,reason,source_url
2026-09-16,FC000001,source_name,DOST-FNRI PhilFCT (via CC0 FNRI extraction),DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/2982
2026-09-16,FC000001,aliases,Kanin; sinaing; white rice,"Kanin; sinaing; white rice; Bigas, maputi, sinaing",Add official description/common names; preserve comma-qualified preparation.,https://i.fnri.dost.gov.ph/fct/library/report/2982
2026-09-16,FC000002,kcal_100g,,187,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,protein_g_100g,,2.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,carbs_g_100g,,35.2,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,fat_g_100g,,4.0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,fiber_g_100g,,0.5,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,sugar_g_100g,,0.1,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,sodium_mg_100g,,4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,cholesterol_mg_100g,,0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/2983,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000002,aliases,Sinangag; garlic rice,"Sinangag; garlic rice; Bigas, maputi, sinangag",Add official description/common names; preserve comma-qualified preparation.,https://i.fnri.dost.gov.ph/fct/library/report/2983
2026-09-16,FC000003,kcal_100g,,363,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000003,protein_g_100g,,8.1,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000003,carbs_g_100g,,76.3,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000003,fat_g_100g,,2.8,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000003,fiber_g_100g,,3.0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000003,sugar_g_100g,,3.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000003,sodium_mg_100g,,9,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000003,cholesterol_mg_100g,,0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000003,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/2976,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000003,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000003,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/2976
2026-09-16,FC000004,kcal_100g,,355,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000004,protein_g_100g,,6.9,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000004,carbs_g_100g,,80.1,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000004,fat_g_100g,,0.8,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000004,fiber_g_100g,,2.8,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000004,sugar_g_100g,,0.2,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000004,sodium_mg_100g,,4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000004,cholesterol_mg_100g,,0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000004,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/2974,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000004,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000004,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/2974
